threshold,cost,precision,recall,f1,tp,fp,tn,fn
0.4,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.405,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.41000000000000003,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.41500000000000004,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.42,18.0,0.7948717948717948,0.9393939393939394,0.8611111111111112,31,8,20,2
0.425,18.0,0.7948717948717948,0.9393939393939394,0.8611111111111112,31,8,20,2
0.43,18.0,0.7948717948717948,0.9393939393939394,0.8611111111111112,31,8,20,2
0.435,18.0,0.7948717948717948,0.9393939393939394,0.8611111111111112,31,8,20,2
0.44,18.0,0.7948717948717948,0.9393939393939394,0.8611111111111112,31,8,20,2
0.445,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.45,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.455,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.46,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.465,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.47000000000000003,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.47500000000000003,16.0,0.8378378378378378,0.9393939393939394,0.8857142857142858,31,6,22,2
0.48,21.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,30,6,22,3
0.485,21.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,30,6,22,3
0.49,26.0,0.8285714285714286,0.8787878787878788,0.8529411764705883,29,6,22,4
0.495,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.5,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.505,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.51,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.515,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.52,25.0,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,23,4
0.525,30.0,0.8484848484848485,0.8484848484848485,0.8484848484848486,28,5,23,5
0.53,29.0,0.875,0.8484848484848485,0.8615384615384615,28,4,24,5
0.535,29.0,0.875,0.8484848484848485,0.8615384615384615,28,4,24,5
0.54,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.545,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.55,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.555,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.56,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.5650000000000001,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.5700000000000001,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.5750000000000001,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.58,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.585,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.59,34.0,0.8709677419354839,0.8181818181818182,0.84375,27,4,24,6
0.595,39.0,0.8666666666666667,0.7878787878787878,0.8253968253968254,26,4,24,7
0.6,39.0,0.8666666666666667,0.7878787878787878,0.8253968253968254,26,4,24,7
0.605,44.0,0.8620689655172413,0.7575757575757576,0.8064516129032258,25,4,24,8
0.61,49.0,0.8571428571428571,0.7272727272727273,0.7868852459016394,24,4,24,9
0.615,54.0,0.8518518518518519,0.696969696969697,0.7666666666666667,23,4,24,10
0.62,54.0,0.8518518518518519,0.696969696969697,0.7666666666666667,23,4,24,10
0.625,54.0,0.8518518518518519,0.696969696969697,0.7666666666666667,23,4,24,10
0.63,59.0,0.8461538461538461,0.6666666666666666,0.7457627118644068,22,4,24,11
0.635,59.0,0.8461538461538461,0.6666666666666666,0.7457627118644068,22,4,24,11
0.64,59.0,0.8461538461538461,0.6666666666666666,0.7457627118644068,22,4,24,11
0.645,59.0,0.8461538461538461,0.6666666666666666,0.7457627118644068,22,4,24,11
0.65,59.0,0.8461538461538461,0.6666666666666666,0.7457627118644068,22,4,24,11
0.655,64.0,0.84,0.6363636363636364,0.7241379310344828,21,4,24,12
